ticket_id,title,description,category,priority,source_id,source_type,technical_details,created_at,status,assigned_to
T1021,[Complaint] Too expensive for basic features,Too expensive for basic features,Complaint,Medium,R1031,app_review,N/A,2025-09-19T18:06:35.486252,New,Unassigned
T1022,[General] This review is about a different app entirely,This review is about a different app entirely,General,Low,R1044,app_review,N/A,2025-09-19T18:06:35.486254,New,Unassigned
T1023,[General] Notifications stopped working after iOS update,Notifications stopped working after iOS update,General,Low,R1005,app_review,N/A,2025-09-19T18:06:35.486255,New,Unassigned
T1024,[Feature Request] Would love to see widget support for home screen,Would love to see widget support for home screen,Feature Request,Medium,R1012,app_review,N/A,2025-09-19T18:06:35.486257,New,Unassigned
T1025,[General] Updates keep making it better and better,Updates keep making it better and better,General,Low,R1030,app_review,N/A,2025-09-19T18:06:35.486258,New,Unassigned
T1026,[General] Subscription model is a ripoff,Subscription model is a ripoff,General,Low,R1035,app_review,N/A,2025-09-19T18:06:35.486260,New,Unassigned
T1027,[Feature Request] Need ability to create templates,Need ability to create templates,Feature Request,Medium,R1020,app_review,N/A,2025-09-19T18:06:35.486261,New,Unassigned
T1028,[Bug] The app freezes when switching between tabs,The app freezes when switching between tabs,Bug,Medium,R1004,app_review,Version: 2.9.8; Platform: Google Play,2025-09-19T18:06:35.486262,New,Unassigned
T1029,[General] Interface is confusing and cluttered,Interface is confusing and cluttered,General,Low,R1036,app_review,N/A,2025-09-19T18:06:35.486264,New,Unassigned
T1030,[Feature Request] Please add collaboration features for teams,Please add collaboration features for teams,Feature Request,Medium,R1015,app_review,N/A,2025-09-19T18:06:35.486265,New,Unassigned
T1031,"[Complaint] Poor customer service, no response for weeks","Poor customer service, no response for weeks",Complaint,Medium,R1032,app_review,N/A,2025-09-19T18:06:35.486267,New,Unassigned
T1032,[General] Search feature returns no results even for existing items,Search feature returns no results even for existing items,General,Low,R1007,app_review,N/A,2025-09-19T18:06:35.486269,New,Unassigned
T1033,[Feature Request] Can you add markdown support in notes?,Can you add markdown support in notes?,Feature Request,Medium,R1014,app_review,N/A,2025-09-19T18:06:35.486271,New,Unassigned
T1034,[General] App uses too much battery in background,App uses too much battery in background,General,Low,R1008,app_review,N/A,2025-09-19T18:06:35.486273,New,Unassigned
T1035,[General] Takes forever to load large documents,Takes forever to load large documents,General,Low,R1037,app_review,N/A,2025-09-19T18:06:35.486275,New,Unassigned
T1036,[General] Too many unnecessary features,Too many unnecessary features,General,Low,R1040,app_review,N/A,2025-09-19T18:06:35.486276,New,Unassigned
T1037,"[Bug] Performance Issues
The app has become extremely slow lately....","Performance Issues
The app has become extremely slow lately. Takes 10+ seconds to open, freezes when scrolling. My device has plenty of storage and RAM available.

Device: Google Pixel 7
Android: 13

Please investigate.",Bug,Medium,E2005,support_email,Device: Android; OS: Android,2025-09-19T18:06:35.486279,New,Unassigned
T1038,"[Bug] App Crash Report - Critical Issue
Hi Support,

The app crash...","App Crash Report - Critical Issue
Hi Support,

The app crashes immediately after launch on my iPhone 13 Pro running iOS 16.5. Steps to reproduce:
1. Open the app
2. Try to access settings
3. App crashes

Please fix this urgently as I cannot use the app at all.

Best regards",Bug,Critical,E2001,support_email,Version: 16.5; Device: iPhone; OS: iOS; Steps to reproduce found: 4 steps,2025-09-19T18:06:35.486280,New,Unassigned
T1039,"[Feature Request] Feature Request: Dark Mode
Hello Product Team,

I would real...","Feature Request: Dark Mode
Hello Product Team,

I would really appreciate if you could add a dark mode option. I use the app extensively at night and the bright white interface strains my eyes.

This would be a great addition for many users.

Thank you for considering!",Feature Request,Medium,E2006,support_email,N/A,2025-09-19T18:06:35.486282,New,Unassigned
T1040,"[Bug] Sync Issues Between Devices
Hi,

Syncing stopped working bet...","Sync Issues Between Devices
Hi,

Syncing stopped working between my phone and laptop. Changes made on phone don't appear on laptop and vice versa. Started happening after update to version 3.0.2.

Devices affected:
- iPhone 12 (iOS 16.3)
- MacBook Pro 2021 (macOS Ventura)

Thanks",Bug,Medium,E2004,support_email,Version: 3.0.2; Device: iPhone; OS: iOS,2025-09-19T18:06:35.486284,New,Unassigned
T1041,"[Bug] Data Loss Problem
Dear Team,

I lost all my data after the r...","Data Loss Problem
Dear Team,

I lost all my data after the recent update! I had over 500 notes that are now gone. This is unacceptable. I need my data recovered immediately.

Device: iPad Pro 2022
iOS: 16.4
App version: 3.0.2

Very disappointed.",Bug,Critical,E2003,support_email,Version: 16.4; Device: iPad; OS: iOS,2025-09-19T18:06:35.486285,New,Unassigned
T1042,"[Bug] Login Issue - Cannot Access Account
Hello,

I have been unab...","Login Issue - Cannot Access Account
Hello,

I have been unable to login for the past 3 days. Error message: ""Invalid credentials"" even though my password is correct. I have tried:
- Resetting password
- Clearing cache
- Reinstalling app

Device: Samsung Galaxy S22
Android version: 13
App version: 3.0.1

Please help!",Bug,High,E2002,support_email,Version: 3.0.1; Device: Android; OS: Android; Error Code: message,2025-09-19T18:06:35.486287,New,Unassigned
